Year,Series,Type of product,Value
2020,"Indicator of Food Price Anomalies (IFPA), by type of product",Flour,-0.5
2020,"Indicator of Food Price Anomalies (IFPA), by type of product",Rice,1.0
2021,"Indicator of Food Price Anomalies (IFPA), by type of product",Rice,-0.3
2021,"Indicator of Food Price Anomalies (IFPA), by type of product",Flour,0.1
2022,"Indicator of Food Price Anomalies (IFPA), by type of product",Rice,0.4
2022,"Indicator of Food Price Anomalies (IFPA), by type of product",Flour,0.3
2023,"Indicator of Food Price Anomalies (IFPA), by type of product",Rice,0.4
2023,"Indicator of Food Price Anomalies (IFPA), by type of product",Flour,0.3
2010,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-1.86
2011,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.54
2012,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,0.18
2013,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,0.35
2014,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.56
2015,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.06
2016,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,0.14
2017,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.04
2018,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,0.21
2019,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.2
2020,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.24
2021,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,-0.28
2022,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,1.46
2023,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",,1.04
